trade_date,open,high,low,close,volume
2026-01-05,4.64,4.78,4.63,4.75,1938535.0
2026-01-06,4.73,4.86,4.72,4.83,2252376.0
2026-01-07,4.81,4.86,4.73,4.73,1582444.0
2026-01-08,4.73,5.0,4.69,4.9,3119901.0
2026-01-09,4.87,5.04,4.81,4.96,2626711.0
2026-01-12,4.89,4.93,4.85,4.88,1990730.0
2026-01-13,4.87,4.97,4.82,4.83,1950981.0
2026-01-14,4.82,4.85,4.69,4.69,2798384.0
2026-01-15,4.71,4.96,4.71,4.85,3195562.0
2026-01-16,4.85,4.86,4.72,4.73,2093046.0
2026-01-19,4.7,4.77,4.68,4.73,1168450.0
2026-01-20,4.71,4.85,4.7,4.79,2102006.0
2026-01-21,4.86,5.11,4.81,5.01,5117860.0
2026-01-22,5.01,5.02,4.92,4.95,2918103.0
2026-01-23,4.97,4.98,4.89,4.95,2602180.0
2026-01-26,4.92,4.97,4.81,4.82,2709822.0
2026-01-27,4.81,4.83,4.72,4.75,1745654.0
2026-01-28,4.88,4.93,4.81,4.86,2799208.0
2026-01-29,4.82,5.18,4.77,5.13,6052434.0
2026-01-30,5.06,5.07,4.88,4.88,3740525.0
2026-02-02,4.7,4.8,4.66,4.68,3010157.0
2026-02-03,4.72,4.77,4.67,4.7,1640340.0
2026-02-04,4.68,4.92,4.67,4.9,3532548.0
2026-02-05,4.86,4.92,4.84,4.88,2140934.0
2026-02-06,4.82,4.86,4.78,4.81,1625126.0
2026-02-09,4.83,5.07,4.83,4.96,2818485.0
2026-02-10,4.97,4.98,4.87,4.88,1619555.0
2026-02-11,4.88,4.91,4.83,4.89,1359966.0
2026-02-12,4.93,5.06,4.92,4.92,2948565.0
2026-02-13,4.95,4.99,4.88,4.97,2245732.0
2026-02-24,4.94,4.96,4.9,4.92,1557019.0
2026-02-25,4.92,5.07,4.91,5.0,2467309.0
2026-02-26,4.99,5.0,4.81,4.82,2787387.0
2026-02-27,4.83,4.84,4.79,4.84,1132768.0
