trade_date,open,high,low,close,volume
2026-01-05,12.05,12.06,11.38,11.4,1222843.0
2026-01-06,11.36,11.61,11.29,11.58,1213754.0
2026-01-07,11.49,11.56,11.34,11.37,704742.0
2026-01-08,11.36,11.36,11.06,11.12,800173.0
2026-01-09,11.14,11.15,11.04,11.12,423616.0
2026-01-12,11.13,11.26,11.09,11.24,601102.0
2026-01-13,11.3,11.33,11.12,11.15,496201.0
2026-01-14,11.19,11.22,10.8,10.82,1365644.0
2026-01-15,10.8,10.84,10.74,10.74,692783.0
2026-01-16,10.77,10.85,10.46,10.62,1268113.0
2026-01-19,10.57,10.79,10.51,10.7,731551.0
2026-01-20,10.68,10.69,10.52,10.61,735259.0
2026-01-21,10.61,10.64,10.29,10.32,962622.0
2026-01-22,10.32,10.48,10.18,10.21,1529755.0
2026-01-23,10.21,10.24,10.05,10.09,1323244.0
2026-01-26,10.07,10.11,9.92,9.93,1490771.0
2026-01-27,9.92,9.98,9.76,9.78,954300.0
2026-01-28,9.78,9.84,9.59,9.63,1400902.0
2026-01-29,9.61,9.77,9.46,9.73,1821647.0
2026-01-30,9.72,9.86,9.59,9.62,1104368.0
2026-02-02,9.65,9.83,9.61,9.64,1057712.0
2026-02-03,9.64,9.65,9.49,9.6,776695.0
2026-02-04,9.58,9.73,9.56,9.71,672490.0
2026-02-05,9.73,9.86,9.71,9.81,972237.0
2026-02-06,9.82,9.85,9.64,9.7,759256.0
2026-02-09,9.69,9.82,9.66,9.76,611715.0
2026-02-10,9.77,9.82,9.73,9.76,464298.0
2026-02-11,9.76,9.77,9.69,9.75,393388.0
2026-02-12,9.75,9.76,9.54,9.56,983763.0
2026-02-13,9.56,9.61,9.46,9.47,700407.0
2026-02-24,9.56,9.6,9.48,9.48,547393.0
2026-02-25,9.48,9.52,9.37,9.37,874234.0
2026-02-26,9.38,9.41,9.27,9.31,760250.0
2026-02-27,9.31,9.42,9.28,9.3,802810.0
2026-03-02,9.27,9.35,9.16,9.26,734046.0
2026-03-03,9.24,9.4,9.19,9.31,1129364.0
2026-03-04,9.27,9.28,9.01,9.18,1617556.0
2026-03-05,9.14,9.39,9.14,9.36,1197453.0
2026-03-06,9.32,9.48,9.29,9.47,727260.0
2026-03-09,9.41,9.6,9.35,9.43,1168405.0
2026-03-10,9.41,9.57,9.38,9.54,649164.0
2026-03-11,9.55,9.68,9.43,9.65,1008846.0
2026-03-12,9.62,9.78,9.59,9.76,894183.0
