,date,code,qty,price,type
0,2023-03-01,002837.SZ,1000,33.32,buy
1,2023-03-01,301296.SZ,1825,17.65,buy
2,2023-03-01,002654.SZ,6095,5.11,buy
3,2023-03-01,600767.SH,5524,5.45,buy
4,2023-03-01,600297.SH,12994,2.24,buy
5,2023-03-01,002387.SZ,4187,6.72,buy
6,2023-03-01,300207.SZ,1249,21.76,buy
7,2023-03-01,300773.SZ,1337,19.66,buy
8,2023-03-01,000516.SZ,2152,11.81,buy
9,2023-03-01,300227.SZ,2924,8.4,buy
10,2023-03-01,603228.SH,984,24.13,buy
11,2023-03-01,600996.SH,1575,14.57,buy
12,2023-03-01,301006.SZ,1045,21.23,buy
13,2023-03-01,002962.SZ,1731,12.39,buy
14,2023-03-01,300604.SZ,474,43.7,buy
15,2023-03-01,301389.SZ,1022,19.61,buy
16,2023-03-01,300179.SZ,1468,13.2,buy
17,2023-03-01,002516.SZ,3575,5.24,buy
18,2023-03-01,300807.SZ,705,25.68,buy
19,2023-03-01,002600.SZ,3008,5.82,buy
20,2023-03-01,600302.SH,2928,5.78,buy
21,2023-03-01,002792.SZ,1107,14.77,buy
22,2023-03-01,300226.SZ,488,32.35,buy
23,2023-03-01,600149.SH,2366,6.46,buy
24,2023-03-01,002341.SZ,3358,4.4,buy
25,2023-03-01,300283.SZ,2409,5.93,buy
26,2023-03-01,600936.SH,3196,4.32,buy
27,2023-03-01,000035.SZ,2472,5.4,buy
28,2023-03-01,301091.SZ,504,25.58,buy
29,2023-03-01,300396.SZ,402,30.99,buy
30,2023-04-03,002654.SZ,-6095,6.1,sell
31,2023-04-03,002387.SZ,-4187,7.56,sell
32,2023-04-03,300773.SZ,-1337,19.25,sell
33,2023-04-03,300227.SZ,-2924,8.67,sell
34,2023-04-03,603228.SH,-984,25.52,sell
35,2023-04-03,600996.SH,-1575,12.55,sell
36,2023-04-03,301006.SZ,-1045,21.26,sell
37,2023-04-03,002962.SZ,-1731,12.76,sell
38,2023-04-03,301389.SZ,-1022,19.7,sell
39,2023-04-03,300179.SZ,-1468,10.88,sell
40,2023-04-03,002516.SZ,-3575,5.17,sell
41,2023-04-03,600302.SH,-2928,5.24,sell
42,2023-04-03,300226.SZ,-488,42.6,sell
43,2023-04-03,002341.SZ,-3358,4.1,sell
44,2023-04-03,300283.SZ,-2409,5.74,sell
45,2023-04-03,301296.SZ,-1825,16.51,sell
46,2023-04-03,002837.SZ,-1000,33.0,sell
47,2023-04-03,600767.SH,-5524,5.71,sell
48,2023-04-03,600297.SH,-12994,2.19,sell
49,2023-04-03,300207.SZ,-1249,19.91,sell
50,2023-04-03,000516.SZ,-2152,10.14,sell
51,2023-04-03,300604.SZ,-474,49.98,sell
52,2023-04-03,300807.SZ,-705,27.47,sell
53,2023-04-03,002600.SZ,-3008,6.23,sell
54,2023-04-03,002792.SZ,-1107,15.78,sell
55,2023-04-03,600936.SH,-3196,4.41,sell
56,2023-04-03,000035.SZ,-2472,5.1,sell
57,2023-04-03,301091.SZ,-504,26.16,sell
58,2023-04-03,300396.SZ,-402,29.44,sell
59,2023-04-03,001209.SZ,2339,14.59,buy
60,2023-04-03,003042.SZ,1396,23.6,buy
61,2023-04-03,000755.SZ,5744,5.54,buy
62,2023-04-03,301037.SZ,1705,18.02,buy
63,2023-04-03,000599.SZ,6883,4.31,buy
64,2023-04-03,002366.SZ,5834,4.91,buy
65,2023-04-03,603499.SH,2958,9.35,buy
66,2023-04-03,000592.SZ,10513,2.54,buy
67,2023-04-03,002231.SZ,3479,7.41,buy
68,2023-04-03,600755.SH,2848,8.74,buy
69,2023-04-03,002293.SZ,1967,12.22,buy
70,2023-04-03,000571.SZ,10454,2.22,buy
71,2023-04-03,002800.SZ,907,24.69,buy
72,2023-04-03,600469.SH,4059,5.33,buy
73,2023-04-03,002724.SZ,2140,9.76,buy
74,2023-04-03,600764.SH,781,25.81,buy
75,2023-04-03,003026.SZ,390,49.92,buy
76,2023-04-03,002942.SZ,967,19.44,buy
77,2023-04-03,300232.SZ,2382,7.62,buy
78,2023-04-03,300825.SZ,1449,12.09,buy
79,2023-04-03,002951.SZ,1616,10.47,buy
80,2023-04-03,600057.SH,1515,10.78,buy
81,2023-04-03,002039.SZ,1061,14.86,buy
82,2023-04-03,002316.SZ,3610,4.22,buy
83,2023-04-03,300791.SZ,414,35.46,buy
84,2023-04-03,002190.SZ,602,23.58,buy
85,2023-04-03,002987.SZ,403,33.99,buy
86,2023-04-03,002750.SZ,1243,10.65,buy
87,2023-04-03,001319.SZ,583,21.91,buy
88,2023-05-04,001209.SZ,-2339,15.29,sell
89,2023-05-04,003042.SZ,-1396,20.79,sell
90,2023-05-04,000755.SZ,-5744,5.31,sell
91,2023-05-04,301037.SZ,-1705,16.12,sell
92,2023-05-04,000599.SZ,-6883,4.17,sell
93,2023-05-04,002366.SZ,-5834,5.08,sell
94,2023-05-04,603499.SH,-2958,9.14,sell
95,2023-05-04,000592.SZ,-10513,2.44,sell
96,2023-05-04,002231.SZ,-3479,6.85,sell
97,2023-05-04,600755.SH,-2848,9.3,sell
98,2023-05-04,600149.SH,-2366,5.53,sell
99,2023-05-04,002293.SZ,-1967,13.09,sell
100,2023-05-04,000571.SZ,-10454,2.3,sell
101,2023-05-04,002800.SZ,-907,19.26,sell
102,2023-05-04,600469.SH,-4059,5.56,sell
103,2023-05-04,002724.SZ,-2140,8.75,sell
104,2023-05-04,600764.SH,-781,27.2,sell
105,2023-05-04,003026.SZ,-390,39.85,sell
106,2023-05-04,002942.SZ,-967,18.7,sell
107,2023-05-04,300232.SZ,-2382,8.8,sell
108,2023-05-04,300825.SZ,-1449,11.93,sell
109,2023-05-04,002951.SZ,-1616,9.57,sell
110,2023-05-04,600057.SH,-1515,10.04,sell
111,2023-05-04,002039.SZ,-1061,13.98,sell
112,2023-05-04,002316.SZ,-3610,4.6,sell
113,2023-05-04,300791.SZ,-414,35.19,sell
114,2023-05-04,002190.SZ,-602,22.11,sell
115,2023-05-04,002987.SZ,-403,33.36,sell
116,2023-05-04,002750.SZ,-1243,10.24,sell
117,2023-05-04,001319.SZ,-583,19.4,sell
118,2023-05-04,300042.SZ,1197,27.39,buy
119,2023-05-04,000911.SZ,3026,10.48,buy
120,2023-05-04,600756.SH,1940,15.8,buy
121,2023-05-04,300830.SZ,3558,8.33,buy
122,2023-05-04,002835.SZ,1824,15.7,buy
123,2023-05-04,605167.SH,2858,9.69,buy
124,2023-05-04,600004.SH,1754,15.26,buy
125,2023-05-04,603931.SH,870,29.72,buy
126,2023-05-04,300525.SZ,1281,19.53,buy
127,2023-05-04,300645.SZ,930,26.0,buy
128,2023-05-04,600026.SH,1811,12.91,buy
129,2023-05-04,000889.SZ,12150,1.86,buy
130,2023-05-04,002222.SZ,829,26.33,buy
131,2023-05-04,300564.SZ,1670,12.64,buy
132,2023-05-04,301316.SZ,883,23.11,buy
133,2023-05-04,002557.SZ,448,44.05,buy
134,2023-05-04,002649.SZ,1393,13.69,buy
135,2023-05-04,300812.SZ,1040,17.72,buy
136,2023-05-04,300377.SZ,2132,8.36,buy
137,2023-05-04,002922.SZ,1218,14.14,buy
138,2023-05-04,300299.SZ,2072,8.04,buy
139,2023-05-04,300071.SZ,3578,4.5,buy
140,2023-05-04,300735.SZ,1545,10.07,buy
141,2023-05-04,300675.SZ,1016,14.81,buy
142,2023-05-04,300716.SZ,1015,14.32,buy
143,2023-05-04,300739.SZ,1050,13.39,buy
144,2023-05-04,603232.SH,950,14.3,buy
145,2023-05-04,600882.SH,501,26.21,buy
146,2023-05-04,000056.SZ,3003,4.23,buy
147,2023-05-04,600481.SH,836,14.68,buy
148,2023-06-01,300042.SZ,-1197,37.9,sell
149,2023-06-01,000911.SZ,-3026,9.67,sell
150,2023-06-01,600756.SH,-1940,16.95,sell
151,2023-06-01,300830.SZ,-3558,9.98,sell
152,2023-06-01,002835.SZ,-1824,17.42,sell
153,2023-06-01,605167.SH,-2858,9.55,sell
154,2023-06-01,600004.SH,-1754,13.77,sell
155,2023-06-01,603931.SH,-870,30.76,sell
156,2023-06-01,300525.SZ,-1281,19.14,sell
157,2023-06-01,300645.SZ,-930,28.93,sell
158,2023-06-01,600026.SH,-1811,10.88,sell
159,2023-06-01,000889.SZ,-12150,1.44,sell
160,2023-06-01,002222.SZ,-829,25.86,sell
161,2023-06-01,300564.SZ,-1670,12.52,sell
162,2023-06-01,301316.SZ,-883,25.18,sell
163,2023-06-01,002557.SZ,-448,41.16,sell
164,2023-06-01,002649.SZ,-1393,14.88,sell
165,2023-06-01,300812.SZ,-1040,22.25,sell
166,2023-06-01,300377.SZ,-2132,8.43,sell
167,2023-06-01,002922.SZ,-1218,14.03,sell
168,2023-06-01,300299.SZ,-2072,8.24,sell
169,2023-06-01,300071.SZ,-3578,4.47,sell
170,2023-06-01,300735.SZ,-1545,11.0,sell
171,2023-06-01,300675.SZ,-1016,15.3,sell
172,2023-06-01,300716.SZ,-1015,14.69,sell
173,2023-06-01,300739.SZ,-1050,14.49,sell
174,2023-06-01,603232.SH,-950,17.19,sell
175,2023-06-01,600882.SH,-501,22.93,sell
176,2023-06-01,000056.SZ,-3003,3.56,sell
177,2023-06-01,600481.SH,-836,12.19,sell
178,2023-06-01,600881.SH,15354,2.18,buy
179,2023-06-01,300634.SZ,1160,27.88,buy
180,2023-06-01,300345.SZ,3175,9.85,buy
181,2023-06-01,600228.SH,2434,12.42,buy
182,2023-06-01,300282.SZ,13657,2.14,buy
183,2023-06-01,003816.SZ,9084,3.11,buy
184,2023-06-01,000036.SZ,7283,3.75,buy
185,2023-06-01,000166.SZ,5653,4.67,buy
186,2023-06-01,300622.SZ,1036,24.62,buy
187,2023-06-01,601229.SH,4005,6.16,buy
188,2023-06-01,000682.SZ,2641,9.03,buy
189,2023-06-01,300805.SZ,2570,8.97,buy
190,2023-06-01,600560.SH,1285,17.34,buy
191,2023-06-01,002173.SZ,1866,11.54,buy
192,2023-06-01,603421.SH,2138,9.74,buy
193,2023-06-01,002289.SZ,3805,5.29,buy
194,2023-06-01,603220.SH,1355,14.36,buy
195,2023-06-01,601577.SH,2375,7.92,buy
196,2023-06-01,601326.SH,5122,3.55,buy
197,2023-06-01,002291.SZ,989,17.76,buy
198,2023-06-01,002857.SZ,850,19.97,buy
199,2023-06-01,001965.SZ,1783,9.21,buy
200,2023-06-01,300389.SZ,788,20.14,buy
201,2023-06-01,601688.SH,1117,13.74,buy
202,2023-06-01,000059.SZ,2340,6.34,buy
203,2023-06-01,601900.SH,525,27.32,buy
204,2023-06-01,002021.SZ,8253,1.68,buy
205,2023-06-01,002379.SZ,3176,4.22,buy
206,2023-06-01,600016.SH,3313,3.91,buy
207,2023-06-01,603133.SH,1761,7.11,buy
208,2023-07-03,600881.SH,-15354,2.13,sell
209,2023-07-03,300634.SZ,-1160,26.86,sell
210,2023-07-03,300345.SZ,-3175,10.37,sell
211,2023-07-03,600228.SH,-2434,9.94,sell
212,2023-07-03,300282.SZ,-13657,3.51,sell
213,2023-07-03,003816.SZ,-9084,3.14,sell
214,2023-07-03,000036.SZ,-7283,4.1,sell
215,2023-07-03,000166.SZ,-5653,4.65,sell
216,2023-07-03,300622.SZ,-1036,23.73,sell
217,2023-07-03,601229.SH,-4005,5.81,sell
218,2023-07-03,000682.SZ,-2641,9.77,sell
219,2023-07-03,300805.SZ,-2570,8.28,sell
220,2023-07-03,600560.SH,-1285,14.29,sell
221,2023-07-03,002173.SZ,-1866,10.56,sell
222,2023-07-03,603421.SH,-2138,10.5,sell
223,2023-07-03,002289.SZ,-3805,5.8,sell
224,2023-07-03,603220.SH,-1355,16.26,sell
225,2023-07-03,601577.SH,-2375,7.96,sell
226,2023-07-03,601326.SH,-5122,3.4,sell
227,2023-07-03,002291.SZ,-989,13.19,sell
228,2023-07-03,002857.SZ,-850,21.21,sell
229,2023-07-03,300389.SZ,-788,20.38,sell
230,2023-07-03,601688.SH,-1117,14.09,sell
231,2023-07-03,000059.SZ,-2340,6.35,sell
232,2023-07-03,601900.SH,-525,19.95,sell
233,2023-07-03,002021.SZ,-8253,2.21,sell
234,2023-07-03,002379.SZ,-3176,4.45,sell
235,2023-07-03,600016.SH,-3313,3.8,sell
236,2023-07-03,603133.SH,-1761,7.7,sell
237,2023-07-03,300826.SZ,2145,16.06,buy
238,2023-07-03,000903.SZ,13864,2.4,buy
239,2023-07-03,002320.SZ,5115,6.28,buy
240,2023-07-03,600190.SH,10204,3.04,buy
241,2023-07-03,002122.SZ,6981,4.29,buy
242,2023-07-03,600688.SH,9209,3.14,buy
243,2023-07-03,600307.SH,17898,1.56,buy
244,2023-07-03,600293.SH,10172,2.65,buy
245,2023-07-03,002360.SZ,3465,7.51,buy
246,2023-07-03,300137.SZ,4479,5.61,buy
247,2023-07-03,000007.SZ,5173,4.69,buy
248,2023-07-03,600426.SH,751,31.19,buy
249,2023-07-03,603278.SH,2012,11.24,buy
250,2023-07-03,002701.SZ,4800,4.55,buy
251,2023-07-03,601339.SH,3738,5.64,buy
252,2023-07-03,000680.SZ,3553,5.73,buy
253,2023-07-03,301045.SZ,742,26.47,buy
254,2023-07-03,603030.SH,6754,2.81,buy
255,2023-07-03,000972.SZ,5281,3.47,buy
256,2023-07-03,605081.SH,1171,15.11,buy
257,2023-07-03,301399.SZ,299,57.08,buy
258,2023-07-03,001229.SZ,501,32.87,buy
259,2023-07-03,603629.SH,711,22.4,buy
260,2023-07-03,002715.SZ,1049,14.65,buy
261,2023-07-03,300961.SZ,1377,10.78,buy
262,2023-07-03,002357.SZ,2108,6.8,buy
263,2023-07-03,601228.SH,4272,3.24,buy
264,2023-07-03,600838.SH,2034,6.57,buy
265,2023-07-03,603590.SH,378,34.11,buy
