date,code,action,shares,price,value
2024-11-01,600612.SH,buy,1046.9,47.76,50000.0
2024-11-01,600529.SH,buy,2000.0,25.0,50000.0
2024-11-01,601799.SH,buy,364.4,137.21,50000.0
2024-11-01,000651.SZ,buy,1148.9,43.52,50000.0
2024-11-01,603871.SH,buy,2470.36,20.24,50000.0
2024-11-01,002867.SZ,buy,4484.3,11.15,50000.0
2024-11-01,601600.SH,buy,6297.23,7.94,50000.0
2024-11-01,601001.SH,buy,3248.86,15.39,50000.0
2024-11-01,600036.SH,buy,1315.44,38.01,50000.0
2024-11-01,601699.SH,buy,3410.64,14.66,50000.0
2024-11-01,603228.SH,buy,1960.78,25.5,50000.0
2024-11-01,600690.SH,buy,1701.26,29.39,50000.0
2024-11-01,600373.SH,buy,4022.53,12.43,50000.0
2024-11-01,000921.SZ,buy,1783.8,28.03,50000.0
2024-11-01,002543.SZ,buy,5476.45,9.13,50000.0
2024-11-01,600761.SH,buy,2770.08,18.05,50000.0
2024-11-01,001378.SZ,buy,2285.19,21.88,50000.0
2024-11-01,301381.SZ,buy,2039.15,24.52,50000.0
2024-11-01,600398.SH,buy,8912.66,5.61,50000.0
2024-11-01,605016.SH,buy,2900.23,17.24,50000.0
2024-12-02,600612.SH,sell,1046.9011725293133,53.0,55485.7621440536
2024-12-02,600529.SH,sell,2000.0,24.81,49620.0
2024-12-02,000651.SZ,sell,1148.8970588235293,42.04,48299.63235294117
2024-12-02,603871.SH,sell,2470.3557312252965,19.88,49110.67193675889
2024-12-02,002867.SZ,sell,4484.304932735426,13.14,58923.76681614349
2024-12-02,601600.SH,sell,6297.229219143576,7.59,47795.969773299745
2024-12-02,601001.SH,sell,3248.862897985705,14.2,46133.85315139701
2024-12-02,600036.SH,sell,1315.4433043935808,36.51,48026.83504340963
2024-12-02,601699.SH,sell,3410.6412005457028,14.75,50306.957708049114
2024-12-02,603228.SH,sell,1960.7843137254902,25.15,49313.72549019608
2024-12-02,600690.SH,sell,1701.2589316093909,28.65,48741.06839060905
2024-12-02,600373.SH,sell,4022.5261464199516,12.67,50965.406275140784
2024-12-02,000921.SZ,sell,1783.8030681412772,27.3,48697.82376025687
2024-12-02,002543.SZ,sell,5476.45125958379,10.4,56955.093099671416
2024-12-02,600761.SH,sell,2770.083102493075,17.51,48504.15512465374
2024-12-02,001378.SZ,sell,2285.1919561243144,24.7,56444.24131627056
2024-12-02,301381.SZ,sell,2039.1517128874389,28.28,57667.21044045677
2024-12-02,600398.SH,sell,8912.6559714795,6.33,56417.11229946524
2024-12-02,605016.SH,sell,2900.2320185614853,16.76,48607.8886310905
2024-12-02,600418.SH,buy,1420.61,36.16,51369.32493441387
2024-12-02,300760.SZ,buy,195.16,263.21,51369.32493441387
2024-12-02,300813.SZ,buy,2455.51,20.92,51369.32493441387
2024-12-02,301367.SZ,buy,765.34,67.12,51369.32493441387
2024-12-02,301509.SZ,buy,1776.87,28.91,51369.32493441387
2024-12-02,600060.SH,buy,2652.0,19.37,51369.32493441387
2024-12-02,300308.SZ,buy,389.07,132.03,51369.32493441387
2024-12-02,600165.SH,buy,26343.24,1.95,51369.32493441387
2024-12-02,000400.SZ,buy,1937.0,26.52,51369.32493441387
2024-12-02,301152.SZ,buy,1382.75,37.15,51369.32493441387
2024-12-02,601127.SH,buy,384.07,133.75,51369.32493441387
2024-12-02,002223.SZ,buy,1497.65,34.3,51369.32493441387
2024-12-02,002463.SZ,buy,1348.28,38.1,51369.32493441387
2024-12-02,300492.SZ,buy,688.69,74.59,51369.32493441387
2024-12-02,300108.SZ,buy,23563.91,2.18,51369.32493441387
2024-12-02,600461.SH,buy,5583.62,9.2,51369.32493441387
2024-12-02,002027.SZ,buy,7359.5,6.98,51369.32493441387
2024-12-02,301291.SZ,buy,1209.83,42.46,51369.32493441387
2024-12-02,603929.SH,buy,1911.77,26.87,51369.32493441387
