date,code,action,shares,price,value
2024-02-01,601288.SH,buy,12853.47,3.89,50000.0
2024-02-01,601398.SH,buy,9727.63,5.14,50000.0
2024-02-01,600050.SH,buy,11235.96,4.45,50000.0
2024-02-01,603052.SH,buy,1761.8,28.38,50000.0
2024-02-01,605118.SH,buy,3180.66,15.72,50000.0
2024-02-01,001314.SZ,buy,1237.01,40.42,50000.0
2024-02-01,002529.SZ,buy,6097.56,8.2,50000.0
2024-02-01,603722.SH,buy,1466.71,34.09,50000.0
2024-02-01,603396.SH,buy,1267.43,39.45,50000.0
2024-02-01,300622.SZ,buy,3362.47,14.87,50000.0
2024-02-01,605167.SH,buy,6281.41,7.96,50000.0
2024-02-01,002578.SZ,buy,16556.29,3.02,50000.0
2024-02-01,605218.SH,buy,2962.09,16.88,50000.0
2024-02-01,605259.SH,buy,2517.62,19.86,50000.0
2024-02-01,002358.SZ,buy,14534.88,3.44,50000.0
2024-02-01,300219.SZ,buy,8169.93,6.12,50000.0
2024-02-01,603595.SH,buy,2427.18,20.6,50000.0
2024-02-01,603177.SH,buy,5405.41,9.25,50000.0
2024-02-01,300225.SZ,buy,8833.92,5.66,50000.0
2024-02-01,002962.SZ,buy,3946.33,12.67,50000.0
2024-03-01,601398.SH,sell,9727.62645914397,5.34,51945.5252918288
2024-03-01,600050.SH,sell,11235.955056179775,4.84,54382.02247191011
2024-03-01,603052.SH,sell,1761.8040873854827,36.99,65169.13319238901
2024-03-01,605118.SH,sell,3180.6615776081426,16.83,53530.534351145034
2024-03-01,001314.SZ,sell,1237.0113805047006,47.69,58993.07273626917
2024-03-01,002529.SZ,sell,6097.5609756097565,8.25,50304.87804878049
2024-03-01,603722.SH,sell,1466.7057788207685,38.5,56468.172484599585
2024-03-01,603396.SH,sell,1267.4271229404308,42.43,53776.93282636248
2024-03-01,300622.SZ,sell,3362.4747814391394,15.85,53295.22528581036
2024-03-01,605167.SH,sell,6281.407035175879,9.34,58668.34170854271
2024-03-01,002578.SZ,sell,16556.29139072848,2.92,48344.370860927156
2024-03-01,605218.SH,sell,2962.0853080568722,19.09,56546.20853080569
2024-03-01,605259.SH,sell,2517.623363544814,20.88,52567.97583081571
2024-03-01,002358.SZ,sell,14534.883720930233,3.81,55377.90697674419
2024-03-01,300219.SZ,sell,8169.934640522875,6.74,55065.359477124184
2024-03-01,603595.SH,sell,2427.1844660194174,23.45,56917.47572815534
2024-03-01,603177.SH,sell,5405.405405405405,8.9,48108.10810810811
2024-03-01,300225.SZ,sell,8833.922261484098,6.09,53798.58657243816
2024-03-01,002962.SZ,sell,3946.329913180742,14.2,56037.884767166535
2024-03-01,600705.SH,buy,16676.79,3.28,54699.87974999593
2024-03-01,600462.SH,buy,23177.92,2.36,54699.87974999593
2024-03-01,601975.SH,buy,17817.55,3.07,54699.87974999593
2024-03-01,000571.SZ,buy,23177.92,2.36,54699.87974999593
2024-03-01,601156.SH,buy,3551.94,15.4,54699.87974999593
2024-03-01,603555.SH,buy,66707.17,0.82,54699.87974999593
2024-03-01,601825.SH,buy,8560.23,6.39,54699.87974999593
2024-03-01,601096.SH,buy,9750.42,5.61,54699.87974999593
2024-03-01,000564.SZ,buy,30220.93,1.81,54699.87974999593
2024-03-01,600754.SH,buy,1903.93,28.73,54699.87974999593
2024-03-01,601018.SH,buy,15584.01,3.51,54699.87974999593
2024-03-01,000889.SZ,buy,31436.71,1.74,54699.87974999593
2024-03-01,002721.SZ,buy,20957.81,2.61,54699.87974999593
2024-03-01,600306.SH,buy,6527.43,8.38,54699.87974999593
2024-03-01,000961.SZ,buy,48839.18,1.12,54699.87974999593
2024-03-01,000637.SZ,buy,16426.39,3.33,54699.87974999593
2024-03-01,600115.SH,buy,14586.63,3.75,54699.87974999593
2024-03-01,600790.SH,buy,14864.1,3.68,54699.87974999593
2024-03-01,000416.SZ,buy,44471.45,1.23,54699.87974999593
2024-04-01,600705.SH,sell,16676.79260670608,3.05,50864.21745045354
2024-04-01,600462.SH,sell,23177.915148303364,2.04,47282.94690253886
2024-04-01,601975.SH,sell,17817.5504071648,3.57,63608.65495357833
2024-04-01,000571.SZ,sell,23177.915148303364,3.05,70692.64120232525
2024-04-01,601156.SH,sell,3551.9402435062293,18.29,64964.98705372893
2024-04-01,601825.SH,sell,8560.231572769317,6.93,59322.40479929136
2024-04-01,601096.SH,sell,9750.424197860237,5.15,50214.68461898022
2024-04-01,000564.SZ,sell,30220.928038671784,1.97,59535.228236183415
2024-04-01,600754.SH,sell,1903.928985380993,28.02,53348.09017037542
2024-04-01,601018.SH,sell,15584.011324785168,3.46,53920.67918375668
2024-04-01,000889.SZ,sell,31436.712499997662,1.74,54699.87974999593
2024-04-01,002721.SZ,sell,20957.808333331777,2.94,61615.956499995424
