date,code,action,shares,price,value
2024-02-01,600519.SH,buy,31.06,1610.03,50000.0
2024-02-01,603603.SH,buy,52631.58,0.95,50000.0
2024-02-01,300750.SZ,buy,335.53,149.02,50000.0
2024-02-01,600036.SH,buy,1643.66,30.42,50000.0
2024-02-01,300896.SZ,buy,177.07,282.38,50000.0
2024-02-01,601857.SH,buy,6134.97,8.15,50000.0
2024-02-01,601398.SH,buy,9727.63,5.14,50000.0
2024-02-01,600050.SH,buy,11235.96,4.45,50000.0
2024-02-01,000017.SZ,buy,4436.56,11.27,50000.0
2024-02-01,300308.SZ,buy,450.25,111.05,50000.0
2024-02-01,601288.SH,buy,12853.47,3.89,50000.0
2024-02-01,603099.SH,buy,1886.79,26.5,50000.0
2024-02-01,601318.SH,buy,1240.69,40.3,50000.0
2024-02-01,002371.SZ,buy,212.22,235.6,50000.0
2024-02-01,603259.SH,buy,896.06,55.8,50000.0
2024-02-01,000651.SZ,buy,1417.23,35.28,50000.0
2024-02-01,600630.SH,buy,3496.5,14.3,50000.0
2024-02-01,000858.SZ,buy,395.26,126.5,50000.0
2024-02-01,601888.SH,buy,617.67,80.95,50000.0
2024-02-01,601012.SH,buy,2552.32,19.59,50000.0
2024-03-01,600036.SH,sell,1643.655489809336,31.94,52498.35634451019
2024-03-01,601857.SH,sell,6134.969325153374,8.78,53865.03067484662
2024-03-01,601398.SH,sell,9727.62645914397,5.34,51945.5252918288
2024-03-01,600050.SH,sell,11235.955056179775,4.84,54382.02247191011
2024-03-01,000017.SZ,sell,4436.557231588287,10.68,47382.431233362906
2024-03-01,601288.SH,sell,12853.470437017995,4.24,54498.7146529563
2024-03-01,603099.SH,sell,1886.7924528301887,23.05,43490.56603773585
2024-03-01,601318.SH,sell,1240.694789081886,42.99,53337.468982630286
2024-03-01,603259.SH,sell,896.0573476702509,55.02,49301.07526881721
2024-03-01,000651.SZ,sell,1417.233560090703,40.01,56703.51473922902
2024-03-01,600630.SH,sell,3496.5034965034965,10.76,37622.37762237762
2024-03-01,601888.SH,sell,617.6652254478073,86.65,53520.691785052506
2024-03-01,601012.SH,sell,2552.322613578356,21.6,55130.1684532925
2024-03-01,603880.SH,buy,13131.74,3.61,47405.567397039275
2024-03-01,601127.SH,buy,513.6,92.3,47405.567397039275
2024-03-01,300394.SZ,buy,346.33,136.88,47405.567397039275
2024-03-01,603019.SH,buy,886.09,53.5,47405.567397039275
2024-03-01,000063.SZ,buy,1552.25,30.54,47405.567397039275
2024-03-01,600809.SH,buy,200.02,237.0,47405.567397039275
2024-03-01,002485.SZ,buy,16692.1,2.84,47405.567397039275
2024-03-01,000628.SZ,buy,649.39,73.0,47405.567397039275
2024-03-01,002621.SZ,buy,21845.88,2.17,47405.567397039275
2024-03-01,300502.SZ,buy,731.57,64.8,47405.567397039275
2024-03-01,300364.SZ,buy,1559.39,30.4,47405.567397039275
2024-03-01,000568.SZ,buy,269.63,175.82,47405.567397039275
2024-03-01,601138.SH,buy,2367.91,20.02,47405.567397039275
2024-03-01,300760.SZ,buy,163.37,290.17,47405.567397039275
2024-04-01,300896.SZ,sell,177.06636447340463,349.92,61959.062256533754
2024-04-01,000858.SZ,sell,395.25691699604744,157.28,62166.00790513834
2024-04-01,603880.SH,sell,13131.736121063512,4.04,53052.213929096586
2024-04-01,000063.SZ,sell,1552.2451668971603,28.16,43711.223899824035
2024-04-01,600809.SH,sell,200.02349112674798,252.54,50513.93244914893
2024-04-01,002485.SZ,sell,16692.10119614059,2.85,47572.48840900068
2024-04-01,002621.SZ,sell,21845.883593105656,2.37,51774.74411566041
2024-04-01,300502.SZ,sell,731.567398102458,70.93,51890.07554740735
2024-04-01,300364.SZ,sell,1559.393664376292,27.72,43226.39237651081
2024-04-01,000568.SZ,sell,269.6255681779051,191.35,51592.85247084214
2024-04-01,300760.SZ,sell,163.37170416321217,282.75,46193.349352148245
2024-04-01,300757.SZ,buy,344.92,148.56,51241.12206466466
2024-04-01,002085.SZ,buy,3151.36,16.26,51241.12206466466
2024-04-01,300573.SZ,buy,232.91,220.0,51241.12206466466
2024-04-01,002087.SZ,buy,53376.17,0.96,51241.12206466466
2024-04-01,600306.SH,buy,12497.83,4.1,51241.12206466466
2024-04-01,000977.SZ,buy,1163.78,44.03,51241.12206466466
2024-04-01,000416.SZ,buy,61736.29,0.83,51241.12206466466
2024-04-01,301589.SZ,buy,110.91,462.0,51241.12206466466
2024-04-01,000596.SZ,buy,190.49,269.0,51241.12206466466
2024-04-01,002594.SZ,buy,241.69,212.01,51241.12206466466
2024-04-01,002130.SZ,buy,4579.19,11.19,51241.12206466466
2024-05-06,603019.SH,sell,886.0853719072761,47.21,41832.09040774251
2024-05-06,000628.SZ,sell,649.3913342060174,46.03,29891.48311350298
2024-05-06,300757.SZ,sell,344.9186999506237,116.3,40114.04480425754
2024-05-06,000977.SZ,sell,1163.7774713755316,41.0,47714.8763263968
2024-05-06,000596.SZ,sell,190.48744261957123,279.12,53168.85498397472
2024-05-06,002130.SZ,sell,4579.188745725171,14.15,64795.52075201118
2024-05-06,002569.SZ,buy,6229.33,4.95,30835.207820876192
2024-05-06,002808.SZ,buy,12955.97,2.38,30835.207820876192
2024-05-06,300502.SZ,buy,359.09,85.87,30835.207820876192
2024-05-06,300641.SZ,buy,1291.26,23.88,30835.207820876192
2024-05-06,300760.SZ,buy,98.46,313.16,30835.207820876192
2024-05-06,000099.SZ,buy,1365.6,22.58,30835.207820876192
2024-05-06,601857.SH,buy,3080.44,10.01,30835.207820876192
2024-05-06,601899.SH,buy,1760.0,17.52,30835.207820876192
2024-05-06,300073.SZ,buy,683.71,45.1,30835.207820876192
2024-06-03,002371.SZ,sell,212.22410865874363,308.88,65551.78268251273
2024-06-03,601127.SH,sell,513.6031137274027,90.49,46475.94576119267
2024-06-03,300394.SZ,sell,346.3293936078264,91.08,31543.681169800824
2024-06-03,601138.SH,sell,2367.9104593925713,23.87,56522.02266570068
2024-06-03,002569.SZ,sell,6229.334913308321,5.74,35756.38240238976
2024-06-03,002808.SZ,sell,12955.969672637057,1.91,24745.902074736776
2024-06-03,300641.SZ,sell,1291.2566089144134,22.77,29401.91298498119
2024-06-03,300760.SZ,sell,98.46470756442774,296.6,29204.63226360927
2024-06-03,000099.SZ,sell,1365.5982205879625,18.01,24594.423952789206
2024-06-03,601857.SH,sell,3080.4403417458734,10.16,31297.273872138074
2024-06-03,300073.SZ,sell,683.7074904850597,39.53,27026.95709887441
2024-06-03,600234.SH,buy,18278.22,2.0,36556.446993520505
2024-06-03,000971.SZ,buy,63028.36,0.58,36556.446993520505
2024-06-03,301538.SZ,buy,336.31,108.7,36556.446993520505
2024-06-03,603388.SH,buy,19654.0,1.86,36556.446993520505
2024-06-03,000002.SZ,buy,4518.72,8.09,36556.446993520505
2024-06-03,601919.SH,buy,2276.24,16.06,36556.446993520505
2024-06-03,000609.SZ,buy,24700.3,1.48,36556.446993520505
2024-06-03,300917.SZ,buy,921.75,39.66,36556.446993520505
2024-06-03,601020.SH,buy,2394.0,15.27,36556.446993520505
2024-06-03,300956.SZ,buy,1313.09,27.84,36556.446993520505
2024-06-03,002156.SZ,buy,1555.59,23.5,36556.446993520505
2024-07-01,002085.SZ,sell,3151.3605205820822,13.58,42795.47586950468
2024-07-01,300573.SZ,sell,232.91419120302118,165.39,38521.67808306767
2024-07-01,301589.SZ,sell,110.91151962048627,188.0,20851.365688651418
2024-07-01,601899.SH,sell,1760.0004463970429,18.04,31750.40805300265
2024-07-01,600234.SH,sell,18278.223496760253,2.1,38384.26934319653
2024-07-01,301538.SZ,sell,336.3058601059844,103.39,34770.662876357725
2024-07-01,603388.SH,sell,19654.00375995726,1.74,34197.96654232563
2024-07-01,000002.SZ,sell,4518.720271139741,7.29,32941.470776608716
2024-07-01,000609.SZ,sell,24700.30202264899,1.87,46189.56478235361
2024-07-01,300917.SZ,sell,921.7460159737899,37.08,34178.34227230813
2024-07-01,601020.SH,sell,2394.0043872639494,13.35,31959.958569973725
2024-07-01,300956.SZ,sell,1313.0907684454205,20.78,27286.02616829584
2024-07-01,002156.SZ,sell,1555.593489085979,22.57,35109.74504867054
2024-07-01,002435.SZ,buy,86667.36,0.37,32066.923862451204
2024-07-01,601127.SH,buy,347.31,92.33,32066.923862451204
2024-07-01,601138.SH,buy,1145.25,28.0,32066.923862451204
2024-07-01,002475.SZ,buy,824.13,38.91,32066.923862451204
2024-07-01,002371.SZ,buy,98.71,324.86,32066.923862451204
2024-07-01,301577.SZ,buy,393.12,81.57,32066.923862451204
2024-07-01,002600.SZ,buy,4708.8,6.81,32066.923862451204
2024-07-01,300394.SZ,buy,334.66,95.82,32066.923862451204
2024-07-01,600900.SH,buy,1087.75,29.48,32066.923862451204
2024-07-01,301132.SZ,buy,885.83,36.2,32066.923862451204
2024-07-01,002869.SZ,buy,995.25,32.22,32066.923862451204
2024-07-01,600171.SH,buy,1937.58,16.55,32066.923862451204
2024-07-01,300641.SZ,buy,1205.52,26.6,32066.923862451204
2024-07-01,300760.SZ,buy,112.5,285.03,32066.923862451204
2024-08-01,601919.SH,sell,2276.242029484465,13.26,30182.969310964007
2024-08-01,601127.SH,sell,347.30774247212395,78.04,27103.896222524556
2024-08-01,601138.SH,sell,1145.2472808018288,23.97,27451.577320819833
2024-08-01,002475.SZ,sell,824.1306569635366,37.83,31176.86275293059
2024-08-01,301577.SZ,sell,393.1215380955156,59.15,23253.138978349747
2024-08-01,002600.SZ,sell,4708.799392430426,7.18,33809.17963765046
2024-08-01,301132.SZ,sell,885.8266260345636,27.58,24431.09834603326
2024-08-01,002869.SZ,sell,995.2490335956302,34.2,34037.51694897056
2024-08-01,300641.SZ,sell,1205.5234534756091,28.09,33863.15380812986
2024-08-01,300760.SZ,sell,112.50367983177632,255.23,28714.31420346427
2024-08-01,600611.SH,buy,2672.94,10.0,26729.427957257918
2024-08-01,600733.SH,buy,2790.13,9.58,26729.427957257918
2024-08-01,300563.SZ,buy,687.31,38.89,26729.427957257918
2024-08-01,601398.SH,buy,4545.82,5.88,26729.427957257918
2024-08-01,601288.SH,buy,5773.09,4.63,26729.427957257918
2024-08-01,600686.SH,buy,1599.61,16.71,26729.427957257918
2024-08-01,002384.SZ,buy,1103.15,24.23,26729.427957257918
2024-08-01,600418.SH,buy,1346.57,19.85,26729.427957257918
2024-08-01,600671.SH,buy,4099.61,6.52,26729.427957257918
2024-08-01,605117.SH,buy,269.18,99.3,26729.427957257918
2024-08-01,000625.SZ,buy,1881.03,14.21,26729.427957257918
2024-09-02,002371.SZ,sell,98.70997926014653,307.4,30343.44762456904
2024-09-02,300394.SZ,sell,334.6579405390441,72.42,24235.928053837575
2024-09-02,600900.SH,sell,1087.7518270845048,29.71,32317.10678268064
2024-09-02,600171.SH,sell,1937.5784811148762,19.53,37840.90773617353
2024-09-02,600733.SH,sell,2790.12817925448,6.61,18442.747264872116
2024-09-02,300563.SZ,sell,687.308510086344,37.06,25471.65338379991
2024-09-02,600686.SH,sell,1599.6067000154349,12.97,20746.89889920019
2024-09-02,002384.SZ,sell,1103.1542698001617,22.85,25207.0750649337
2024-09-02,600418.SH,sell,1346.570677947502,19.56,26338.922460653135
2024-09-02,600671.SH,sell,4099.605514916859,6.55,26852.416122705425
2024-09-02,605117.SH,sell,269.1785292775218,88.73,23884.21090279451
2024-09-02,000625.SZ,sell,1881.0294128964051,11.7,22008.044130887938
2024-09-02,000062.SZ,buy,921.1,28.38,26140.779868925645
2024-09-02,300184.SZ,buy,3513.55,7.44,26140.779868925645
2024-09-02,603444.SH,buy,136.32,191.76,26140.779868925645
2024-09-02,601127.SH,buy,353.25,74.0,26140.779868925645
2024-09-02,301589.SZ,buy,158.24,165.2,26140.779868925645
2024-09-02,002951.SZ,buy,4676.35,5.59,26140.779868925645
2024-09-02,600809.SH,buy,156.12,167.44,26140.779868925645
2024-09-02,300709.SZ,buy,675.47,38.7,26140.779868925645
2024-09-02,300622.SZ,buy,944.73,27.67,26140.779868925645
2024-09-02,601138.SH,buy,1344.0,19.45,26140.779868925645
2024-09-02,002052.SZ,buy,10498.31,2.49,26140.779868925645
2024-09-02,000810.SZ,buy,2496.73,10.47,26140.779868925645
2024-10-08,300502.SZ,sell,359.09174124695693,155.96,56003.947964875406
2024-10-08,600611.SH,sell,2672.9427957257917,8.61,23014.037471199066
2024-10-08,300184.SZ,sell,3513.54568130721,9.68,34011.122195053795
2024-10-08,603444.SH,sell,136.3202955200545,263.02,35854.964127684725
2024-10-08,601127.SH,sell,353.25378201250874,98.1,34654.19601542711
2024-10-08,301589.SZ,sell,158.23716627678962,257.0,40666.951733134934
2024-10-08,002951.SZ,sell,4676.347024852531,5.88,27496.920506132883
2024-10-08,600809.SH,sell,156.12028110920716,230.8,36032.56088000501
2024-10-08,300709.SZ,sell,675.4723480342543,46.08,31125.765797418437
2024-10-08,300622.SZ,sell,944.7336418115519,31.7,29948.056445426195
2024-10-08,601138.SH,sell,1343.9989649833237,27.71,37242.2113196879
2024-10-08,002052.SZ,sell,10498.30516824323,2.03,21311.559491533757
2024-10-08,000810.SZ,sell,2496.731601616585,12.11,30235.419695576842
2024-10-08,300059.SZ,buy,1381.83,24.36,33661.36258793508
2024-10-08,002656.SZ,buy,31167.93,1.08,33661.36258793508
2024-10-08,300033.SZ,buy,145.11,231.97,33661.36258793508
2024-10-08,000858.SZ,buy,205.19,164.05,33661.36258793508
2024-10-08,000158.SZ,buy,2319.87,14.51,33661.36258793508
2024-10-08,300085.SZ,buy,855.0,39.37,33661.36258793508
2024-10-08,300760.SZ,buy,103.73,324.5,33661.36258793508
2024-10-08,600030.SH,buy,1125.05,29.92,33661.36258793508
2024-10-08,300896.SZ,buy,119.06,282.72,33661.36258793508
2024-10-08,601099.SH,buy,6600.27,5.1,33661.36258793508
2024-10-08,601318.SH,buy,545.3,61.73,33661.36258793508
2024-10-08,000333.SZ,buy,419.77,80.19,33661.36258793508
2024-10-08,300803.SZ,buy,366.16,91.93,33661.36258793508
2024-11-01,300308.SZ,sell,450.24763619990995,140.73,63363.34984241332
2024-11-01,002594.SZ,sell,241.69200539910696,290.31,70165.60608741474
2024-11-01,601398.SH,sell,4545.821081166313,6.15,27956.799649172826
2024-11-01,601288.SH,sell,5773.0945912004145,4.78,27595.39214593798
2024-11-01,000062.SZ,sell,921.098656410347,34.68,31943.701404310832
2024-11-01,002656.SZ,sell,31167.928322162108,1.53,47686.93033290803
2024-11-01,000858.SZ,sell,205.18965308098188,147.92,30351.65348373884
2024-11-01,300760.SZ,sell,103.73301259764277,266.25,27618.914604122387
