date,value,holdings
2023-02-01,1000000.0,20
2023-03-01,724238.84,20
2023-04-03,668757.92,20
2023-05-04,494069.64,6
2023-06-01,513829.04,20
2023-07-03,493145.29,20
2023-08-01,507670.31,20
2023-09-01,497230.46,20
2023-10-09,500231.52,20
2023-11-01,504873.37,20
2023-12-01,518188.33,20
2024-01-02,483818.76,20
2024-02-01,390983.22,20
2024-03-01,381264.43,20
2024-04-01,349804.29,20
2024-05-06,220873.57,17
2024-06-03,209339.9,20
2024-07-01,191476.77,19
2024-08-01,177596.45,20
2024-09-02,194294.99,20
2024-10-08,218959.65,20
2024-11-01,262808.55,20
2024-12-02,263612.72,20
