date,code,action,shares,price,value
2023-02-01,002499.SZ,buy,28409.09,1.76,50000.0
2023-02-01,002052.SZ,buy,25906.74,1.93,50000.0
2023-02-01,600260.SH,buy,102040.82,0.49,50000.0
2023-02-01,002504.SZ,buy,33557.05,1.49,50000.0
2023-02-01,600139.SH,buy,55555.56,0.9,50000.0
2023-02-01,600311.SH,buy,45871.56,1.09,50000.0
2023-02-01,000971.SZ,buy,26315.79,1.9,50000.0
2023-02-01,000752.SZ,buy,12787.72,3.91,50000.0
2023-02-01,002485.SZ,buy,15822.78,3.16,50000.0
2023-02-01,600122.SH,buy,34965.03,1.43,50000.0
2023-02-01,000806.SZ,buy,27932.96,1.79,50000.0
2023-02-01,600671.SH,buy,5599.1,8.93,50000.0
2023-02-01,002781.SZ,buy,9560.23,5.23,50000.0
2023-02-01,600781.SH,buy,26881.72,1.86,50000.0
2023-02-01,600306.SH,buy,5681.82,8.8,50000.0
2023-02-01,002417.SZ,buy,8389.26,5.96,50000.0
2023-02-01,000587.SZ,buy,65789.47,0.76,50000.0
2023-02-01,600289.SH,buy,17543.86,2.85,50000.0
2023-02-01,600290.SH,buy,23696.68,2.11,50000.0
2023-02-01,600462.SH,buy,23923.44,2.09,50000.0
2023-03-01,002504.SZ,sell,33557.04697986577,1.42,47651.00671140939
2023-03-01,000971.SZ,sell,26315.78947368421,1.89,49736.84210526315
2023-03-01,000752.SZ,sell,12787.72378516624,4.23,54092.071611253195
2023-03-01,600122.SH,sell,34965.03496503497,1.38,48251.74825174825
2023-03-01,600671.SH,sell,5599.1041433370665,9.45,52911.53415453527
2023-03-01,600306.SH,sell,5681.818181818181,8.09,45965.90909090908
2023-03-01,600289.SH,sell,17543.859649122805,2.78,48771.9298245614
2023-03-01,600290.SH,sell,23696.682464454978,2.14,50710.90047393365
2023-03-01,600462.SH,sell,23923.444976076556,2.61,62440.19138755981
2023-03-01,002089.SZ,buy,37290.05,0.95,35425.54873932101
2023-03-01,002021.SZ,buy,18645.03,1.9,35425.54873932101
2023-03-01,600519.SH,buy,19.27,1838.53,35425.54873932101
2023-03-01,300661.SZ,buy,227.38,155.8,35425.54873932101
2023-03-01,600568.SH,buy,19148.95,1.85,35425.54873932101
2023-03-01,603032.SH,buy,476.92,74.28,35425.54873932101
2023-03-01,000606.SZ,buy,16869.31,2.1,35425.54873932101
2023-03-01,600726.SH,buy,13947.07,2.54,35425.54873932101
2023-03-01,002211.SZ,buy,12517.86,2.83,35425.54873932101
2023-03-01,300103.SZ,buy,5186.76,6.83,35425.54873932101
2023-03-01,600809.SH,buy,124.61,284.3,35425.54873932101
2023-03-01,601018.SH,buy,9732.29,3.64,35425.54873932101
2023-03-01,000564.SZ,buy,23617.03,1.5,35425.54873932101
