date,code,action,shares,price,value
2023-08-01,002564.SZ,buy,15873.02,3.15,50000.0
2023-08-01,002313.SZ,buy,6369.43,7.85,50000.0
2023-08-01,600306.SH,buy,6476.68,7.72,50000.0
2023-08-01,002776.SZ,buy,22727.27,2.2,50000.0
2023-08-01,600462.SH,buy,25380.71,1.97,50000.0
2023-08-01,000692.SZ,buy,19531.25,2.56,50000.0
2023-08-01,600568.SH,buy,28571.43,1.75,50000.0
2023-08-01,002656.SZ,buy,23255.81,2.15,50000.0
2023-08-01,002289.SZ,buy,9541.98,5.24,50000.0
2023-08-01,002586.SZ,buy,17482.52,2.86,50000.0
2023-08-01,002005.SZ,buy,35211.27,1.42,50000.0
2023-08-01,300797.SZ,buy,4299.23,11.63,50000.0
2023-08-01,600898.SH,buy,14534.88,3.44,50000.0
2023-08-01,603332.SH,buy,5624.3,8.89,50000.0
2023-08-01,002086.SZ,buy,18587.36,2.69,50000.0
2023-08-01,300555.SZ,buy,7645.26,6.54,50000.0
2023-08-01,600365.SH,buy,14326.65,3.49,50000.0
2023-08-01,002569.SZ,buy,8976.66,5.57,50000.0
2023-08-01,002700.SZ,buy,11210.76,4.46,50000.0
2023-08-01,600290.SH,buy,36231.88,1.38,50000.0
2023-09-01,002564.SZ,sell,15873.015873015873,3.16,50158.73015873016
2023-09-01,002313.SZ,sell,6369.426751592357,6.7,42675.15923566879
2023-09-01,002776.SZ,sell,22727.272727272724,1.67,37954.54545454545
2023-09-01,000692.SZ,sell,19531.25,2.65,51757.8125
2023-09-01,600568.SH,sell,28571.428571428572,1.8,51428.571428571435
2023-09-01,002586.SZ,sell,17482.517482517484,2.86,50000.0
2023-09-01,300797.SZ,sell,4299.226139294927,11.57,49742.0464316423
2023-09-01,600898.SH,sell,14534.883720930233,3.31,48110.46511627907
2023-09-01,603332.SH,sell,5624.29696287964,8.76,49268.84139482564
2023-09-01,002086.SZ,sell,18587.36059479554,2.63,48884.75836431227
2023-09-01,300555.SZ,sell,7645.25993883792,6.69,51146.78899082569
2023-09-01,600365.SH,sell,14326.647564469913,3.75,53724.92836676217
2023-09-01,002569.SZ,sell,8976.660682226211,6.3,56552.96229802513
2023-09-01,600290.SH,sell,36231.884057971016,1.39,50362.31884057971
2023-09-01,001234.SZ,buy,1915.19,25.8,49411.994898626275
2023-09-01,603117.SH,buy,14405.83,3.43,49411.994898626275
2023-09-01,600289.SH,buy,19226.46,2.57,49411.994898626275
2023-09-01,002052.SZ,buy,25870.15,1.91,49411.994898626275
2023-09-01,600265.SH,buy,2891.28,17.09,49411.994898626275
2023-09-01,002692.SZ,buy,13687.53,3.61,49411.994898626275
2023-09-01,002200.SZ,buy,6107.79,8.09,49411.994898626275
2023-09-01,600112.SH,buy,15157.05,3.26,49411.994898626275
2023-09-01,603486.SH,buy,929.85,53.14,49411.994898626275
2023-09-01,000023.SZ,buy,7732.71,6.39,49411.994898626275
2023-09-01,600281.SH,buy,11653.77,4.24,49411.994898626275
2023-09-01,603991.SH,buy,1440.16,34.31,49411.994898626275
2023-09-01,300530.SZ,buy,2524.88,19.57,49411.994898626275
2023-09-01,605033.SH,buy,2694.22,18.34,49411.994898626275
2023-10-09,002656.SZ,sell,23255.813953488374,2.08,48372.09302325582
2023-10-09,002289.SZ,sell,9541.984732824427,5.69,54293.89312977099
2023-10-09,002005.SZ,sell,35211.2676056338,1.45,51056.33802816901
2023-10-09,002700.SZ,sell,11210.762331838565,4.31,48318.38565022421
2023-10-09,001234.SZ,sell,1915.1936007219485,22.66,43398.28699235935
2023-10-09,002052.SZ,sell,25870.154397186532,1.86,48118.487178766954
2023-10-09,600265.SH,sell,2891.2811526405076,16.94,48978.3027257302
2023-10-09,002692.SZ,sell,13687.533212915867,3.52,48180.11690946385
2023-10-09,600112.SH,sell,15157.053649885362,3.0,45471.160949656085
2023-10-09,603486.SH,sell,929.8455946297756,48.17,44790.662293316294
2023-10-09,000023.SZ,sell,7732.706556905521,6.07,46937.52880041652
2023-10-09,600281.SH,sell,11653.77238175148,4.13,48130.07993663361
2023-10-09,603991.SH,sell,1440.1630690360323,37.15,53502.0580146886
2023-10-09,605033.SH,sell,2694.2200053776596,18.87,50839.931501476436
2023-10-09,000752.SZ,buy,4869.65,9.98,48599.09465242342
2023-10-09,300029.SZ,buy,7374.67,6.59,48599.09465242342
2023-10-09,002982.SZ,buy,2304.37,21.09,48599.09465242342
2023-10-09,002872.SZ,buy,9739.3,4.99,48599.09465242342
2023-10-09,600608.SH,buy,11543.73,4.21,48599.09465242342
2023-10-09,002086.SZ,buy,19285.36,2.52,48599.09465242342
2023-10-09,002259.SZ,buy,14771.76,3.29,48599.09465242342
2023-10-09,000692.SZ,buy,17736.9,2.74,48599.09465242342
2023-10-09,603655.SH,buy,2061.9,23.57,48599.09465242342
2023-10-09,003030.SZ,buy,2253.09,21.57,48599.09465242342
2023-10-09,000007.SZ,buy,11020.2,4.41,48599.09465242342
2023-10-09,600898.SH,buy,14907.7,3.26,48599.09465242342
2023-10-09,002569.SZ,buy,7763.43,6.26,48599.09465242342
2023-10-09,600136.SH,buy,16199.7,3.0,48599.09465242342
2023-11-01,600306.SH,sell,6476.683937823835,10.42,67487.04663212436
2023-11-01,300530.SZ,sell,2524.884767431082,18.03,45523.67235678241
2023-11-01,300029.SZ,sell,7374.672936634813,7.87,58038.676011315976
2023-11-01,002982.SZ,sell,2304.366745017706,21.88,50419.544380987405
2023-11-01,002086.SZ,sell,19285.355020802945,2.56,49370.50885325554
2023-11-01,002259.SZ,sell,14771.761292529914,3.23,47712.788974871626
2023-11-01,603655.SH,sell,2061.9047370565727,20.89,43073.189957111805
2023-11-01,003030.SZ,sell,2253.0873737794814,22.05,49680.57659183757
2023-11-01,000007.SZ,sell,11020.202869030252,4.98,54880.61028777066
2023-11-01,600136.SH,sell,16199.698217474472,2.37,38393.2847754145
2023-11-01,002776.SZ,buy,42761.01,1.18,50457.98988214719
2023-11-01,002692.SZ,buy,13600.54,3.71,50457.98988214719
2023-11-01,002052.SZ,buy,30034.52,1.68,50457.98988214719
2023-11-01,000637.SZ,buy,14133.89,3.57,50457.98988214719
2023-11-01,603557.SH,buy,22626.9,2.23,50457.98988214719
2023-11-01,600290.SH,buy,41022.76,1.23,50457.98988214719
2023-11-01,000005.SZ,buy,35533.8,1.42,50457.98988214719
2023-11-01,002005.SZ,buy,35285.31,1.43,50457.98988214719
2023-11-01,002656.SZ,buy,25875.89,1.95,50457.98988214719
2023-11-01,600568.SH,buy,29507.6,1.71,50457.98988214719
2023-12-01,600462.SH,sell,25380.71065989848,2.38,60406.09137055838
2023-12-01,002200.SZ,sell,6107.786761264064,8.13,49656.30636907685
2023-12-01,000752.SZ,sell,4869.648762767877,7.04,34282.327289885856
2023-12-01,002872.SZ,sell,9739.297525535754,5.2,50644.34713278592
2023-12-01,600608.SH,sell,11543.727945943805,4.76,54948.14502269251
2023-12-01,002569.SZ,sell,7763.433650546872,8.66,67231.33541373591
2023-12-01,002776.SZ,sell,42761.00837470101,0.94,40195.34787221895
2023-12-01,002692.SZ,sell,13600.536356373905,4.53,61610.42969437379
2023-12-01,000637.SZ,sell,14133.89072329053,3.66,51730.04004724334
2023-12-01,600290.SH,sell,41022.75600174568,0.82,33638.659921431456
2023-12-01,600568.SH,sell,29507.596422308296,1.75,51638.29373903952
2023-12-01,002740.SZ,buy,35846.64,1.41,50543.756715731135
2023-12-01,000023.SZ,buy,8126.01,6.22,50543.756715731135
2023-12-01,600265.SH,buy,2807.99,18.0,50543.756715731135
2023-12-01,300495.SZ,buy,28882.15,1.75,50543.756715731135
2023-12-01,603155.SH,buy,2132.65,23.7,50543.756715731135
2023-12-01,300715.SZ,buy,4115.94,12.28,50543.756715731135
2023-12-01,002700.SZ,buy,10252.28,4.93,50543.756715731135
2023-12-01,002485.SZ,buy,9719.95,5.2,50543.756715731135
2023-12-01,301317.SZ,buy,2459.55,20.55,50543.756715731135
2023-12-01,600112.SH,buy,17250.43,2.93,50543.756715731135
2023-12-01,300282.SZ,buy,16045.64,3.15,50543.756715731135
2024-01-02,600289.SH,sell,19226.457158998553,2.49,47873.8783259064
2024-01-02,000692.SZ,sell,17736.89585854869,3.33,59063.863208967145
2024-01-02,600898.SH,sell,14907.697746142154,2.59,38610.93716250818
2024-01-02,603557.SH,sell,22626.901292442686,2.3,52041.87297261818
2024-01-02,002005.SZ,sell,35285.30760989314,1.36,47988.01834945467
2024-01-02,000023.SZ,sell,8126.005902850665,6.31,51275.097246987694
2024-01-02,600265.SH,sell,2807.9864842072852,18.14,50936.87482352016
2024-01-02,300495.SZ,sell,28882.146694703504,1.41,40723.82683953194
2024-01-02,603155.SH,sell,2132.6479626890773,24.11,51418.14238043365
2024-01-02,300715.SZ,sell,4115.941100629571,11.63,47868.395000321914
2024-01-02,002700.SZ,sell,10252.283309478933,4.99,51158.89371429988
2024-01-02,002485.SZ,sell,9719.95321456368,4.2,40823.80350116746
2024-01-02,301317.SZ,sell,2459.550205145067,19.86,48846.66707418103
2024-01-02,300282.SZ,sell,16045.63705261306,2.71,43483.67641258139
2024-01-02,603603.SH,buy,33338.99,1.44,48008.13907231997
2024-01-02,300799.SZ,buy,1544.66,31.08,48008.13907231997
2024-01-02,603613.SH,buy,2126.14,22.58,48008.13907231997
2024-01-02,603555.SH,buy,30193.8,1.59,48008.13907231997
2024-01-02,002308.SZ,buy,13955.85,3.44,48008.13907231997
2024-01-02,600565.SH,buy,32220.23,1.49,48008.13907231997
2024-01-02,600871.SH,buy,26091.38,1.84,48008.13907231997
2024-01-02,002650.SZ,buy,11795.61,4.07,48008.13907231997
2024-01-02,600157.SH,buy,34538.23,1.39,48008.13907231997
2024-01-02,002928.SZ,buy,6705.05,7.16,48008.13907231997
