,score
002242.SZ,0.810899086618984
002563.SZ,0.8104456476985761
002333.SZ,0.7943157718002385
300850.SZ,0.7915076830753536
300979.SZ,0.7846771418775551
300591.SZ,0.7844593288222729
300020.SZ,0.7836477908722951
002911.SZ,0.782587920164989
301108.SZ,0.7825857904409887
300271.SZ,0.7819833076980889
601789.SH,0.7808902869461709
000779.SZ,0.7805500086606956
002021.SZ,0.7802096255854633
002827.SZ,0.7786495352700993
002195.SZ,0.7757196506185454
001328.SZ,0.7742496921373345
300678.SZ,0.7730366991811972
300951.SZ,0.7724647486364241
000923.SZ,0.7717944809474118
300530.SZ,0.7711574251401538
002707.SZ,0.7710183196278404
002577.SZ,0.7704801755513697
002724.SZ,0.7682362745608602
300525.SZ,0.7680329202483668
002775.SZ,0.767961638909856
301085.SZ,0.7672854987846492
000428.SZ,0.7657743184398222
301309.SZ,0.7643806395756498
300207.SZ,0.7643083410222165
002003.SZ,0.7641358323019731
000909.SZ,0.7628471624868113
000503.SZ,0.7616479749504471
600844.SH,0.7588541348693468
603528.SH,0.7582953779025685
300612.SZ,0.7580918853628416
300407.SZ,0.7576261109360684
000009.SZ,0.7576225162920965
002161.SZ,0.7576023301163796
001217.SZ,0.7573466957315791
002298.SZ,0.756105254114058
300906.SZ,0.7553908169034348
002270.SZ,0.7547706291628511
002037.SZ,0.7542262627224956
001258.SZ,0.7534025116472697
300462.SZ,0.7533582896958175
300364.SZ,0.7531759593742524
300746.SZ,0.7516973414467161
000721.SZ,0.7515936863165017
605136.SH,0.750513400074802
300575.SZ,0.7495232676887482
002448.SZ,0.7494895137328847
603408.SH,0.7494606132559748
605388.SH,0.7490907849439133
000526.SZ,0.7488632196408858
603458.SH,0.7486903393300499
300546.SZ,0.7483908784420136
300138.SZ,0.7483751796368058
603193.SH,0.7481287653340284
600754.SH,0.7478301129587557
002052.SZ,0.7474029228923073
